,County_State
327,"Del Norte County, California"
328,"Del Norte County, California"
329,"Del Norte County, California"
330,"Del Norte County, California"
331,"El Dorado County, California"
332,"El Dorado County, California"
333,"El Dorado County, California"
334,"El Dorado County, California"
335,"El Dorado County, California"
336,"El Dorado County, California"
337,"El Dorado County, California"
338,"El Dorado County, California"
339,"El Dorado County, California"
340,"El Dorado County, California"
341,"El Dorado County, California"
342,"El Dorado County, California"
343,"El Dorado County, California"
344,"El Dorado County, California"
345,"El Dorado County, California"
346,"El Dorado County, California"
347,"El Dorado County, California"
348,"El Dorado County, California"
349,"El Dorado County, California"
350,"El Dorado County, California"
352,"El Dorado County, California"
353,"El Dorado County, California"
354,"El Dorado County, California"
355,"El Dorado County, California"
356,"Fresno County, California"
357,"Fresno County, California"
358,"Fresno County, California"
359,"Fresno County, California"
360,"Fresno County, California"
361,"Fresno County, California"
362,"Fresno County, California"
363,"Fresno County, California"
364,"Fresno County, California"
365,"Fresno County, California"
366,"Fresno County, California"
367,"Fresno County, California"
368,"Fresno County, California"
369,"Fresno County, California"
370,"Fresno County, California"
371,"Fresno County, California"
372,"Fresno County, California"
373,"Humboldt County, California"
374,"Humboldt County, California"
375,"Humboldt County, California"
376,"Humboldt County, California"
377,"Humboldt County, California"
378,"Humboldt County, California"
379,"Humboldt County, California"
380,"Humboldt County, California"
381,"Humboldt County, California"
382,"Humboldt County, California"
383,"Humboldt County, California"
384,"Humboldt County, California"
385,"Humboldt County, California"
386,"Humboldt County, California"
387,"Humboldt County, California"
388,"Humboldt County, California"
389,"Humboldt County, California"
390,"Humboldt County, California"
391,"Humboldt County, California"
392,"Humboldt County, California"
393,"Humboldt County, California"
394,"Humboldt County, California"
395,"Humboldt County, California"
396,"Humboldt County, California"
397,"Humboldt County, California"
398,"Humboldt County, California"
399,"Humboldt County, California"
400,"Humboldt County, California"
401,"Humboldt County, California"
402,"Humboldt County, California"
404,"Humboldt County, California"
405,"Humboldt County, California"
406,"Humboldt County, California"
407,"Humboldt County, California"
408,"Humboldt County, California"
409,"Humboldt County, California"
410,"Humboldt County, California"
411,"Humboldt County, California"
412,"Humboldt County, California"
413,"Imperial County, California"
414,"Inyo County, California"
415,"Inyo County, California"
416,"Inyo County, California"
417,"Inyo County, California"
418,"Kern County, California"
419,"Kern County, California"
420,"Kern County, California"
421,"Kern County, California"
422,"Kern County, California"
423,"Kern County, California"
424,"Kern County, California"
425,"Kern County, California"
426,"Kern County, California"
427,"Kern County, California"
428,"Kern County, California"
429,"Kern County, California"
430,"Lake County, California"
431,"Lassen County, California"
432,"Lassen County, California"
433,"Lassen County, California"
434,"Los Angeles County, California"
435,"Los Angeles County, California"
436,"Los Angeles County, California"
437,"Los Angeles County, California"
438,"Los Angeles County, California"
439,"Los Angeles County, California"
440,"Los Angeles County, California"
441,"Los Angeles County, California"
442,"Los Angeles County, California"
443,"Madera County, California"
444,"Mariposa County, California"
445,"Mariposa County, California"
446,"Mariposa County, California"
447,"Mendocino County, California"
448,"Mendocino County, California"
449,"Mendocino County, California"
450,"Mendocino County, California"
451,"Mendocino County, California"
452,"Mendocino County, California"
453,"Mendocino County, California"
454,"Mendocino County, California"
455,"Mendocino County, California"
456,"Mendocino County, California"
457,"Mendocino County, California"
458,"Mendocino County, California"
459,"Mendocino County, California"
460,"Mendocino County, California"
461,"Modoc County, California"
462,"Modoc County, California"
463,"Modoc County, California"
464,"Mono County, California"
465,"Mono County, California"
466,"Mono County, California"
467,"Mono County, California"
468,"Mono County, California"
469,"Mono County, California"
470,"Mono County, California"
471,"Mono County, California"
472,"Mono County, California"
473,"Mono County, California"
474,"Mono County, California"
476,"Mono County, California"
477,"Mono County, California"
478,"Monterey County, California"
479,"Monterey County, California"
480,"Monterey County, California"
481,"Monterey County, California"
482,"Napa County, California"
483,"Nevada County, California"
484,"Nevada County, California"
485,"Nevada County, California"
486,"Nevada County, California"
487,"Nevada County, California"
488,"Nevada County, California"
489,"Nevada County, California"
490,"Nevada County, California"
491,"Nevada County, California"
492,"Nevada County, California"
493,"Nevada County, California"
494,"Placer County, California"
495,"Placer County, California"
496,"Placer County, California"
497,"Placer County, California"
498,"Placer County, California"
499,"Placer County, California"
500,"Plumas County, California"
501,"Plumas County, California"
502,"Plumas County, California"
503,"Plumas County, California"
504,"Plumas County, California"
505,"Riverside County, California"
506,"Riverside County, California"
507,"Riverside County, California"
508,"Riverside County, California"
509,"Riverside County, California"
510,"Riverside County, California"
511,"San Bernardino County, California"
512,"San Bernardino County, California"
513,"San Bernardino County, California"
514,"San Bernardino County, California"
515,"San Bernardino County, California"
516,"San Bernardino County, California"
517,"San Bernardino County, California"
518,"San Bernardino County, California"
519,"San Bernardino County, California"
520,"San Bernardino County, California"
521,"San Bernardino County, California"
522,"San Diego County, California"
523,"San Diego County, California"
524,"San Diego County, California"
525,"San Diego County, California"
526,"San Diego County, California"
527,"San Diego County, California"
528,"San Luis Obispo County, California"
529,"Santa Barbara County, California"
531,"Santa Cruz County, California"
532,"Santa Cruz County, California"
533,"Santa Cruz County, California"
534,"Shasta County, California"
535,"Shasta County, California"
536,"Shasta County, California"
537,"Shasta County, California"
538,"Shasta County, California"
539,"Shasta County, California"
540,"Shasta County, California"
542,"Shasta County, California"
543,"Shasta County, California"
544,"Shasta County, California"
545,"Shasta County, California"
546,"Shasta County, California"
547,"Shasta County, California"
548,"Shasta County, California"
549,"Shasta County, California"
550,"Shasta County, California"
551,"Shasta County, California"
552,"Shasta County, California"
553,"Shasta County, California"
554,"Shasta County, California"
555,"Shasta County, California"
556,"Shasta County, California"
557,"Sierra County, California"
558,"Sierra County, California"
559,"Sierra County, California"
560,"Siskiyou County, California"
561,"Siskiyou County, California"
562,"Siskiyou County, California"
563,"Siskiyou County, California"
564,"Siskiyou County, California"
565,"Siskiyou County, California"
566,"Siskiyou County, California"
567,"Siskiyou County, California"
568,"Siskiyou County, California"
569,"Siskiyou County, California"
570,"Siskiyou County, California"
571,"Siskiyou County, California"
572,"Siskiyou County, California"
573,"Siskiyou County, California"
574,"Siskiyou County, California"
575,"Siskiyou County, California"
576,"Siskiyou County, California"
577,"Siskiyou County, California"
578,"Siskiyou County, California"
579,"Siskiyou County, California"
580,"Siskiyou County, California"
581,"Siskiyou County, California"
582,"Siskiyou County, California"
583,"Siskiyou County, California"
584,"Siskiyou County, California"
585,"Siskiyou County, California"
586,"Siskiyou County, California"
587,"Siskiyou County, California"
588,"Siskiyou County, California"
589,"Siskiyou County, California"
590,"Siskiyou County, California"
591,"Sonoma County, California"
592,"Sonoma County, California"
593,"Sonoma County, California"
594,"Sonoma County, California"
595,"Sonoma County, California"
596,"Stanislaus County, California"
597,"Stanislaus County, California"
598,"Sutter County, California"
599,"Tehama County, California"
600,"Tehama County, California"
601,"Tehama County, California"
602,"Tehama County, California"
603,"Tehama County, California"
604,"Trinity County, California"
605,"Trinity County, California"
606,"Trinity County, California"
607,"Trinity County, California"
608,"Trinity County, California"
609,"Trinity County, California"
610,"Trinity County, California"
611,"Trinity County, California"
612,"Trinity County, California"
613,"Trinity County, California"
614,"Trinity County, California"
615,"Trinity County, California"
616,"Trinity County, California"
617,"Trinity County, California"
618,"Trinity County, California"
619,"Trinity County, California"
620,"Trinity County, California"
621,"Trinity County, California"
622,"Trinity County, California"
624,"Tulare County, California"
625,"Tulare County, California"
626,"Tulare County, California"
627,"Tulare County, California"
628,"Tulare County, California"
629,"Tulare County, California"
630,"Tulare County, California"
631,"Tulare County, California"
632,"Tulare County, California"
633,"Tulare County, California"
634,"Tulare County, California"
635,"Tulare County, California"
636,"Tulare County, California"
637,"Tulare County, California"
638,"Tulare County, California"
639,"Tulare County, California"
640,"Tulare County, California"
641,"Tuolumne County, California"
642,"Tuolumne County, California"
643,"Tuolumne County, California"
644,"Tuolumne County, California"
645,"Tuolumne County, California"
646,"Tuolumne County, California"
647,"Tuolumne County, California"
648,"Tuolumne County, California"
649,"Tuolumne County, California"
650,"Tuolumne County, California"
651,"Tuolumne County, California"
652,"Tuolumne County, California"
653,"Tuolumne County, California"
654,"Tuolumne County, California"
655,"Tuolumne County, California"
656,"Tuolumne County, California"
657,"Tuolumne County, California"
658,"Tuolumne County, California"
659,"Tuolumne County, California"
660,"Tuolumne County, California"
661,"Tuolumne County, California"
662,"Tuolumne County, California"
663,"Tuolumne County, California"
664,"Tuolumne County, California"
665,"Tuolumne County, California"
666,"Tuolumne County, California"
667,"Tuolumne County, California"
668,"Tuolumne County, California"
669,"Tuolumne County, California"
670,"Tuolumne County, California"
671,"Tuolumne County, California"
672,"Tuolumne County, California"
673,"Tuolumne County, California"
674,"Tuolumne County, California"
675,"Tuolumne County, California"
676,"Ventura County, California"
677,"Ventura County, California"
678,"Ventura County, California"
679,"Yuba County, California"
680,"Alamosa County, Colorado"
681,"Archuleta County, Colorado"
682,"Archuleta County, Colorado"
683,"Archuleta County, Colorado"
684,"Boulder County, Colorado"
685,"Boulder County, Colorado"
686,"Boulder County, Colorado"
687,"Chaffee County, Colorado"
688,"Chaffee County, Colorado"
689,"Chaffee County, Colorado"
690,"Clear Creek County, Colorado"
691,"Conejos County, Colorado"
692,"Conejos County, Colorado"
693,"Conejos County, Colorado"
694,"Conejos County, Colorado"
695,"Conejos County, Colorado"
696,"Conejos County, Colorado"
697,"Conejos County, Colorado"
698,"Conejos County, Colorado"
699,"Costilla County, Colorado"
700,"Costilla County, Colorado"
701,"Costilla County, Colorado"
702,"Custer County, Colorado"
703,"Delta County, Colorado"
704,"Dolores County, Colorado"
705,"Douglas County, Colorado"
706,"Douglas County, Colorado"
707,"Douglas County, Colorado"
708,"Eagle County, Colorado"
709,"Eagle County, Colorado"
710,"Eagle County, Colorado"
711,"Eagle County, Colorado"
712,"Eagle County, Colorado"
713,"Eagle County, Colorado"
714,"El Paso County, Colorado"
715,"El Paso County, Colorado"
716,"El Paso County, Colorado"
717,"El Paso County, Colorado"
718,"El Paso County, Colorado"
719,"El Paso County, Colorado"
720,"El Paso County, Colorado"
721,"Fremont County, Colorado"
722,"Fremont County, Colorado"
723,"Fremont County, Colorado"
724,"Gunnison County, Colorado"
725,"Gunnison County, Colorado"
726,"Gunnison County, Colorado"
727,"Hinsdale County, Colorado"
728,"Hinsdale County, Colorado"
729,"Huerfano County, Colorado"
730,"Jackson County, Colorado"
731,"Jackson County, Colorado"
732,"Jackson County, Colorado"
733,"Jefferson County, Colorado"
734,"Jefferson County, Colorado"
735,"Jefferson County, Colorado"
736,"La Plata County, Colorado"
737,"Lake County, Colorado"
738,"Lake County, Colorado"
739,"Lake County, Colorado"
740,"Lake County, Colorado"
741,"Lake County, Colorado"
742,"Lake County, Colorado"
743,"Lake County, Colorado"
744,"Lake County, Colorado"
745,"Larimer County, Colorado"
746,"Larimer County, Colorado"
747,"Larimer County, Colorado"
748,"Larimer County, Colorado"
749,"Larimer County, Colorado"
750,"Las Animas County, Colorado"
751,"Mesa County, Colorado"
752,"Mesa County, Colorado"
753,"Moffat County, Colorado"
754,"Moffat County, Colorado"
755,"Moffat County, Colorado"
756,"Montezuma County, Colorado"
758,"Montezuma County, Colorado"
759,"Montrose County, Colorado"
760,"Ouray County, Colorado"
761,"Park County, Colorado"
762,"Park County, Colorado"
763,"Park County, Colorado"
764,"Park County, Colorado"
765,"Park County, Colorado"
766,"Park County, Colorado"
767,"Park County, Colorado"
768,"Park County, Colorado"
769,"Park County, Colorado"
770,"Park County, Colorado"
771,"Pitkin County, Colorado"
772,"Pitkin County, Colorado"
773,"Pitkin County, Colorado"
774,"Pitkin County, Colorado"
775,"Pueblo County, Colorado"
776,"Rio Blanco County, Colorado"
777,"Routt County, Colorado"
778,"Routt County, Colorado"
779,"Routt County, Colorado"
780,"Routt County, Colorado"
781,"Routt County, Colorado"
782,"San Juan County, Colorado"
783,"San Juan County, Colorado"
784,"San Juan County, Colorado"
785,"Summit County, Colorado"
786,"Summit County, Colorado"
787,"Summit County, Colorado"
788,"Teller County, Colorado"
789,"Teller County, Colorado"
790,"Teller County, Colorado"
791,"Teller County, Colorado"
792,"Teller County, Colorado"
793,"Teller County, Colorado"
794,"Teller County, Colorado"
795,"Teller County, Colorado"
796,"Teller County, Colorado"
797,"Weld County, Colorado"
798,"Litchfield County, Connecticut"
799,"Litchfield County, Connecticut"
800,"Litchfield County, Connecticut"
801,"Litchfield County, Connecticut"
802,"Litchfield County, Connecticut"
803,"Middlesex County, Connecticut"
804,"Middlesex County, Connecticut"
805,"New Haven County, Connecticut"
806,"New London County, Connecticut"
807,"New London County, Connecticut"
808,"Windham County, Connecticut"
809,"Sussex County, Delaware"
810,"Sussex County, Delaware"
811,"Sussex County, Delaware"
812,"Sussex County, Delaware"
813,"Sussex County, Delaware"
814,"Alachua County, Florida"
815,"Alachua County, Florida"
816,"Alachua County, Florida"
817,"Alachua County, Florida"
818,"Baker County, Florida"
819,"Bay County, Florida"
820,"Bay County, Florida"
821,"Bay County, Florida"
822,"Bay County, Florida"
823,"Bradford County, Florida"
824,"Brevard County, Florida"
825,"Brevard County, Florida"
826,"Brevard County, Florida"
827,"Brevard County, Florida"
828,"Brevard County, Florida"
829,"Brevard County, Florida"
830,"Brevard County, Florida"
831,"Broward County, Florida"
832,"Broward County, Florida"
833,"Broward County, Florida"
834,"Broward County, Florida"
835,"Broward County, Florida"
836,"Calhoun County, Florida"
837,"Charlotte County, Florida"
838,"Charlotte County, Florida"
839,"Charlotte County, Florida"
840,"Charlotte County, Florida"
841,"Charlotte County, Florida"
842,"Charlotte County, Florida"
843,"Citrus County, Florida"
844,"Citrus County, Florida"
845,"Citrus County, Florida"
846,"Citrus County, Florida"
847,"Clay County, Florida"
848,"Clay County, Florida"
849,"Clay County, Florida"
850,"Clay County, Florida"
851,"Clay County, Florida"
852,"Clay County, Florida"
853,"Clay County, Florida"
854,"Clay County, Florida"
855,"Clay County, Florida"
856,"Clay County, Florida"
857,"Clay County, Florida"
858,"Clay County, Florida"
859,"Clay County, Florida"
860,"Clay County, Florida"
861,"Clay County, Florida"
862,"Clay County, Florida"
863,"Collier County, Florida"
864,"Collier County, Florida"
865,"Collier County, Florida"
866,"Collier County, Florida"
867,"Collier County, Florida"
868,"Collier County, Florida"
869,"Collier County, Florida"
870,"Collier County, Florida"
871,"Collier County, Florida"
872,"Collier County, Florida"
873,"Collier County, Florida"
874,"Collier County, Florida"
875,"Collier County, Florida"
876,"Collier County, Florida"
877,"Collier County, Florida"
878,"Collier County, Florida"
879,"Collier County, Florida"
880,"Collier County, Florida"
881,"Collier County, Florida"
882,"Collier County, Florida"
883,"Collier County, Florida"
885,"Dade County, Florida"
886,"Dade County, Florida"
887,"Dade County, Florida"
888,"Dade County, Florida"
889,"Dixie County, Florida"
890,"Duval County, Florida"
891,"Duval County, Florida"
892,"Duval County, Florida"
893,"Duval County, Florida"
894,"Duval County, Florida"
895,"Duval County, Florida"
896,"Duval County, Florida"
897,"Escambia County, Florida"
898,"Escambia County, Florida"
899,"Flagler County, Florida"
900,"Flagler County, Florida"
901,"Flagler County, Florida"
902,"Gadsden County, Florida"
903,"Gadsden County, Florida"
904,"Gilchrist County, Florida"
905,"Gulf County, Florida"
906,"Hendry County, Florida"
907,"Hernando County, Florida"
908,"Hernando County, Florida"
910,"Hernando County, Florida"
911,"Highlands County, Florida"
912,"Hillsborough County, Florida"
913,"Hillsborough County, Florida"
914,"Hillsborough County, Florida"
915,"Hillsborough County, Florida"
916,"Hillsborough County, Florida"
917,"Hillsborough County, Florida"
918,"Hillsborough County, Florida"
919,"Holmes County, Florida"
920,"Holmes County, Florida"
921,"Holmes County, Florida"
922,"Holmes County, Florida"
923,"Holmes County, Florida"
924,"Indian River County, Florida"
925,"Jackson County, Florida"
926,"Jefferson County, Florida"
927,"Jefferson County, Florida"
928,"Lake County, Florida"
929,"Lake County, Florida"
930,"Lake County, Florida"
931,"Lake County, Florida"
932,"Lake County, Florida"
933,"Lake County, Florida"
934,"Lake County, Florida"
935,"Lake County, Florida"
936,"Lake County, Florida"
937,"Lake County, Florida"
938,"Lake County, Florida"
939,"Lake County, Florida"
940,"Lake County, Florida"
941,"Lake County, Florida"
942,"Lake County, Florida"
943,"Lake County, Florida"
944,"Lake County, Florida"
945,"Lake County, Florida"
946,"Lee County, Florida"
947,"Lee County, Florida"
948,"Lee County, Florida"
949,"Lee County, Florida"
950,"Lee County, Florida"
951,"Lee County, Florida"
952,"Lee County, Florida"
953,"Leon County, Florida"
954,"Levy County, Florida"
955,"Levy County, Florida"
956,"Levy County, Florida"
957,"Levy County, Florida"
958,"Levy County, Florida"
959,"Levy County, Florida"
960,"Levy County, Florida"
961,"Levy County, Florida"
962,"Levy County, Florida"
963,"Levy County, Florida"
964,"Liberty County, Florida"
965,"Liberty County, Florida"
966,"Madison County, Florida"
967,"Manatee County, Florida"
968,"Marion County, Florida"
969,"Marion County, Florida"
970,"Marion County, Florida"
971,"Marion County, Florida"
972,"Marion County, Florida"
973,"Marion County, Florida"
974,"Marion County, Florida"
975,"Marion County, Florida"
976,"Marion County, Florida"
977,"Marion County, Florida"
978,"Marion County, Florida"
979,"Marion County, Florida"
980,"Marion County, Florida"
981,"Marion County, Florida"
982,"Marion County, Florida"
983,"Marion County, Florida"
984,"Marion County, Florida"
985,"Marion County, Florida"
986,"Martin County, Florida"
987,"Martin County, Florida"
988,"Martin County, Florida"
989,"Monroe County, Florida"
990,"Monroe County, Florida"
991,"Monroe County, Florida"
992,"Monroe County, Florida"
993,"Monroe County, Florida"
994,"Nassau County, Florida"
995,"Okaloosa County, Florida"
996,"Okaloosa County, Florida"
997,"Okaloosa County, Florida"
998,"Okaloosa County, Florida"
999,"Okaloosa County, Florida"
1000,"Okeechobee County, Florida"
1001,"Okeechobee County, Florida"
1002,"Okeechobee County, Florida"
1003,"Orange County, Florida"
1004,"Orange County, Florida"
1005,"Orange County, Florida"
1006,"Orange County, Florida"
1007,"Orange County, Florida"
1008,"Orange County, Florida"
1009,"Orange County, Florida"
1010,"Orange County, Florida"
1011,"Osceola County, Florida"
1013,"Osceola County, Florida"
1014,"Osceola County, Florida"
1015,"Osceola County, Florida"
